title_fa,title_en,open_jobs,category,company_size,company_site,year
تزول , Tezol,۱۹,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۱۱ تا ۵۰ نفر,tezolmarket.com,تاسیس در  ۱۳۹۵
جیبیت , Jibit,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,jibit.ir,تاسیس در  ۱۳۹۵
تحولات نوین یادمان , Marco Pacs,۵,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.marcopacs.com,تاسیس در  ۱۳۸۰
رادوین تجارت , Rodween,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.rodween.com,تاسیس در  ۱۳۸۰
اسنپ باکس , Snappbox,۳,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,snapp-box.com/,تاسیس در  ۱۳۹۶
ایران تام , IranTom,۸,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,irantom.ir,تاسیس در  ۱۳۹۷
موسسه زبان ایران اروپا , Iran Europe English School,۳,آموزش، مدارس و دانشگاه‌ها,۲۰۱ تا ۵۰۰ نفر,None,None
هیچستان , Hichestan,۸,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,None,تاسیس در  ۱۳۹۶
پیناتو , Pinato,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,Chanka.ir,None
کاموا , Kamva,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,kamva.ir,None
ایران مدرن , Iranmodern,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,iranmodern.com,تاسیس در  ۱۳۸۴
یارا  , Yara ,۷,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,yaramobile.com,تاسیس در  ۱۳۸۲
سیتی نت , Citynet,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.citynet.ir,تاسیس در  ۱۳۸۶
