title_fa,title_en,open_jobs,category,company_size,company_site,year
دانرو , Dunro,۱,تبلیغات، بازاریابی و برندسازی,۱۱ تا ۵۰ نفر,dunro.com/,None
تجارت الکترونیکی ارتباط فردا , eFarda,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,efarda.ir,None
افق فرا ویژن , OFV Co,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,ofv-co.com,None
سبا پردازش , Sabapardazesh,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,sabapardazesh.net,None
دکتر ساینا , Dr Saina,۱,خدمات درمانی، پزشکی و سلامت,۱۱ تا ۵۰ نفر,drsaina.ir,None
موسسه زبان آفاق , Afaq ,۱,آموزش، مدارس و دانشگاه‌ها,۲ - ۱۰ نفر,None,None
همراه مکانیک , Hamrah Mechanic,۱,خودروسازی,۵۱ تا ۲۰۰ نفر,www.hamrah-mechanic.com,None
ستیران , Setiran,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.setiran.com,None
داده پردازی رسپینا , Respina Networks,۲۷,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,www.respina.net,None
گروه صنعتی آنیتاسان , Anitasun,۲,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۲۰۱ تا ۵۰۰ نفر,None,None
وی آی پی , VIP,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
سالیان سفر امین , Salian Safar,۱,گردشگری و هتل‌ها,۱۱ تا ۵۰ نفر,www.saliansafar.com/,None
آکاف , Akaf,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,applicationnevis.com,None
پردازش اطلاعات مالی مبنا , Mabna DP,۴,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,mabnadp.com,None
عصر کلام زنگنه , ZTC,۱,آموزش، مدارس و دانشگاه‌ها,۲ - ۱۰ نفر,ztcprep.com,None
راهبردهای کسب و کار پارتیان  , Partian,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.Partiatech.com,None
سمینارما , Seminare Ma,۱,آموزش، مدارس و دانشگاه‌ها,۱۱ تا ۵۰ نفر,www.SeminareMa.com,None
رایان پرداز کاوش  , Rayan Pardaz Kavosh,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.rpkavosh.com,None
سروش مهر رضوان , Soroush Mehr Rezvan,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,smgroup.ir,None
سامانه ماندگار آسیا , SMA,۱,کامپیوتر، فناوری اطلاعات و اینترنت,یک نفر (من),smaco.ir,None
ویزیت ساز , Visit Saz,۵,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,visitsaz.com,None
مهیمن , Mohaymen,۹,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,mohaymen.ir/fa/,None
سرور پارس , Server Pars,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,pars.host,None
آژانس دیجیتال مارکتینگ راتین , Ratin,۱,تبلیغات، بازاریابی و برندسازی,۱۱ تا ۵۰ نفر,www.ratin.agency,None
نی نی سایت , Nini Site,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,ninisite.com,None
مرکز خرید گالریا , Galleria Mall,۱,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۲۰۱ تا ۵۰۰ نفر,www.galleriatehran.ir,None
های دکتر , Hi Doctor,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,www.hidoctor.ir,None
پژوهشی صنعتی آریانا , Aryana Group,۱,آموزش، مدارس و دانشگاه‌ها,۱۱ تا ۵۰ نفر,www.aryanagroup.com,None
مقیم سافت , Moghim Soft,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,www.moghim24.com,None
گروه هوژان , Hojan Group,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.hojangroup.com,None
راهبرد رایانه رستاک , Rahbord Rayaneh Rastak,۶,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,www.hamkelasisoftware.com,None
