title_fa,title_en,open_jobs,category,company_size,company_site,year
ماهون درب , Mahoondoor,۰,تولید و صنایع,۱۱ تا ۵۰ نفر,None,None
هاستینگ پلکان , Pelekaan Hosting,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,Pelekaan.com,None
گروه توسعه ايده نوازان , IdeNavazan,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,Idehnavazan.com,None
نوری , Noori,۰,وکالت و حقوقی,۲ - ۱۰ نفر,www.ukr-visa.com,None
جیب , Jeeb,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,jeeb.io,None
برق نگار ایران , Bargh Negar Iran,۰,واردات و صادرات,۲ - ۱۰ نفر,None,None
مرکز خرید آدو , Ado Shoppingcenter,۰,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,یک نفر (من),None,None
دانا رایانه پویشگر , Danarayane,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,danahp.com,None
پاشا کاسپین , Pasha Caspian,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,pashacaspian.com,None
هومان , Hoomaan Co,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,www.hoomaan.co,None
کاج سبز کهن دیار , Kaj Sabz Kohan Diar,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,ksdk.ir,None
متخصصان آینده , Future Expert,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
آنلاین میوه , Onlinemiveh,۰,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۲ - ۱۰ نفر,onlinemiveh.com,None
نرم افزاری رخساره , Rokhsareh,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,wwww.arayeshkar.com,None
ادیسه  , Odyssey,۰,سرمایه‌گذاری و تحلیل کسب‌وکار,۱۱ تا ۵۰ نفر,www.wcoe.ca,None
طراحان  , Tarahan,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,www.tarahan.com,None
برنس , Brans,۰,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۲ - ۱۰ نفر,None,None
ساختنی , Saakhtani,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
فیدبک سنتر , Feedback Center,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
ایرانیکارت , IraniCard,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.IraniCard.com,None
شتاب تاکسی , Taxi Shetab,۰,تبلیغات، بازاریابی و برندسازی,۱۱ تا ۵۰ نفر,www.shetabtaxi.com/,None
زاداک , Zadak,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
پایا نویس پارسیان , Paya Nevis Parsian,۰,رسانه و انتشارات,۲ - ۱۰ نفر,tarjome.ir,None
ماهنامه دنیای عکس و گرافیک , Donyaye Aks va Graphic,۰,رسانه و انتشارات,۲ - ۱۰ نفر,www.donyayeaksvagraphic.com,None
4140 , 4140,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
آراد رایانه , Arad ITC,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,arad-itc.com,None
شبكه الصراط , Assirat Channel,۰,رسانه و انتشارات,۱۱ تا ۵۰ نفر,None,None
تگ استار , TAG STAR,۰,تبلیغات، بازاریابی و برندسازی,۱۱ تا ۵۰ نفر,tagstar.ir,None
